"__mclCluster","cluster node count","EnrichmentMap::Colouring (Dataset 1)","EnrichmentMap::Dataset_Chart","EnrichmentMap::ES (Dataset 1)","EnrichmentMap::fdr_qvalue (Dataset 1)","EnrichmentMap::Formatted_name","EnrichmentMap::fwer_qvalue (Dataset 1)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (Dataset 1)","EnrichmentMap::pvalue (Dataset 1)","name","NumChildren","NumDescendents","selected","shared name"
"0","1","1.0","1","0.5316","0.0048","VALIDATED 
TARGETS OF C-MYC 
TRANSCRIPTIONAL 
ACTIVATION%PATHWAY 
INTERACTION 
DATABASE 
NCI-NATURE 
CURATED 
DATA%VALIDATED 
TARGETS OF C-MYC 
TRANSCRIPTIONAL 
ACTIVATION ","0.534","EIF4A1|TFRC|TRRAP|SLC2A1|ENO1|BMI1|CCND2|KAT5|PEG10|RUVBL2|MYC|RUVBL1|PIM1|UBTF|RCC1|EP300|NBN|TK1|DDX18|HSP90AA1|ACTL6A|CAD|NME2|MMP9|CDC25A|SUPT3H|SUPT7L|NME1|KAT2A|NCL|BIRC5|BCAT1|PTMA|GAPDH|TP53|MAX|SHMT1|RPL11|IREB2|TAF9|ODC1|CDCA7|HSPD1|MTDH|PRDX3|LDHA|MYCT1|CCNB1|MTA1|TERT|PDCD10|PMAIP1|E2F3|EIF4E|CREBBP|NPM1|SMAD4|SMAD3|TAF12|HSPA4|TAF10|HMGA1|HUWE1|KIR3DL1|EIF2S1|FOSL1|LIN28B|GPAM|CDK4|POLR3D|ID2|RIOX2|SNAI1|NDUFAF2|TAF4B|BAX|SERPINI1|PFKM|EIF4G1","Validated targets of C-MYC transcriptional activation","79","ENR","VALIDATED TARGETS OF C-MYC TRANSCRIPTIONAL ACTIVATION%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%VALIDATED TARGETS OF C-MYC TRANSCRIPTIONAL ACTIVATION","1.9277","0.0","validated targets myc","0","0","false","validated targets myc"
"0","1","1.0","1","0.5352","2.0E-4","HALLMARK_TNFA_
SIGNALING_VIA_
NFKB%MSIGDB_
C2%HALLMARK_TNFA_
SIGNALING_VIA_
NFKB","0.014","CD83|CSF2|CSF1|CD80|SERPINE1|TNC|RNF19B|ETS2|IFIT2|ZFP36|CCND1|MYC|CCRL2|ZC3H12A|SLC16A6|IL12B|DENND5A|MAP3K8|PHLDA2|CCNL1|IER5|JUNB|PHLDA1|IER2|MAP2K3|IL15RA|TNLG5A|TAP1|GEM|IL23A|NINJ1|SIK1|TRIB1|IL6ST|PLPP3|SQSTM1|ATF3|SDC4|EBI2|BHLHB2|FUT4|SOCS3|SNN|MSC|MCL1|ABCA1|EGR1|JUN|EGR2|GADD45B|GADD45A|TIPARP|PLK2|TNFRSF9|LIF|INHBA|NFKB1|FOSL2|NFKB2|FOSL1|EFNA1|NFKBIA|EHD1|YRDC|RCAN1|CXCL10|PTPRE|IL6|CXCL11|BMP2|NR4A3|BCL6|ID2|MAFF|REL|MXD1|NFKBIE|IL7R|NFE2L2|CXCL6|BTG3|CDKN1A|BTG2|B4GALT1|BTG1|TNFAIP6|PLEK|TNFAIP2|TNFAIP3|CXCL1|SLC2A3|CXCL3|SLC2A6|LITAF|AREG|CXCL2|CYR61|FLJ11259|IFIH1|PANX1|KYNU|PDE4B|OLR1|KDM6B|DUSP4|TGIF1|DUSP5|DUSP2|EDN1|SERPINB2|DDX58|RIPK2|IFNGR2|SPHK1|PLAUR|IL18|TRAF1|FOS|SERPINB8|F3|RHOB|IL1A|TUBB2A|IRF1|IL1B|TMEPAI|TNF-ALPHA|SGK1|FJX1|CD44|BIRC2|B4GALT5|HBEGF|BIRC3|PTGER4|PPP1R15A|NFAT5|CEBPB|DKFZP564M2422|BCL2A1|CEBPD|PTGS2|SUI1|TANK|RELA|RELB|NFIL3|DNAJB4|CCL5|CCL4|HES1|LDLR|LAMB3|CCL20|G0S2|ATP2B1|KLF4|KLF2|PNRC1|VEGFA|PER1|MARCKS|SPSB1|KLF6|TNIP2|CLCF1|KLF9|PBEF1|TRIP10|ACKR3|FOSB|F2RL1|PTX3|CD69","HALLMARK_TNFA_SIGNALING_VIA_NFKB","174","ENR","HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDB_C2%HALLMARK_TNFA_SIGNALING_VIA_NFKB","2.1418","0.0","hallmark tnfa signaling","0","0","false","hallmark tnfa signaling"
"3","1","0.9974","1","0.701","0.0097","GRANULOCYTE 
DIFFERENTIATION%GOBP%GO:0030851 ","0.882","CEBPA|CSF3|JAGN1|CDKN1A|SPI1|CEBPE|LEF1|SRP54|DEK|GATA2|GATA1|CBFA2T3|PML|RXRA|TAL1|CDK4|CDK2|E2F1|RARA|EP300|LBR","granulocyte differentiation","21","ENR","GRANULOCYTE DIFFERENTIATION%GOBP%GO:0030851","1.8535","0.0026","granulocyte differentiation","0","0","false","granulocyte differentiation"
"0","1","1.0","1","0.5911","0.0026","SARS-COV-2 
INNATE IMMUNITY 
EVASION AND 
CELL-SPECIFIC 
IMMUNE 
RESPONSE%WIKIPATHWAYS_20210210%WP5039%HOMO 
SAPIENS ","0.299","CXCL6|CXCL9|IFITM1|CSF2|CXCL17|CXCL1|CXCL3|CXCL13|CXCL2|CXCL5|IFIT2|TBK1|EP300|TRIM25|IL6R|JAK1|HAVCR2|IFNAR2|IL10|LAG3|DDX58|TRAF2|HCG_16983|HEMMPRIN|ACE2|IRF3|TRAF3|TRAF6|TRAF5|IRF7|TLR7|NUP98|TNF-ALPHA|LGP2|IFNAR1|HDAC2|TANK|IL8RB|LARP1|CCL5|CCL4|CCL3|CCL2|RIPK1|FADD|RAE1|TFAP2A|TGFB1|IFNB1|STAT1|CD160|STAT2|MX1|PPBP|NFKB1|CXCL10|MAVS|CXCL11|IL6|CXCL12|TP53I3|IL8|PF4","SARS-CoV-2 Innate Immunity Evasion and Cell-specific immune response","63","ENR","SARS-COV-2 INNATE IMMUNITY EVASION AND CELL-SPECIFIC IMMUNE RESPONSE%WIKIPATHWAYS_20210210%WP5039%HOMO SAPIENS","1.9774","0.0","sars cov 2","0","0","false","sars cov 2"
"45","4","0.999325","1","0.6586500000000001","0.006075","PURINERGIC 
SIGNALING IN 
LEISHMANIASIS 
INFECTION%REACTOME%R-HSA-9660826.1 ,CELL RECRUITMENT 
(PRO-INFLAMMATORY 
RESPONSE)%REACTOME 
DATABASE ID 
RELEASE 
75%9664424 ,
NUCLEOTIDE-BINDING 
DOMAIN, LEUCINE 
RICH REPEAT 
CONTAINING 
RECEPTOR (NLR) 
SIGNALING 
PATHWAYS%REACTOME 
DATABASE ID 
RELEASE 
75%168643 ,INFLAMMASOMES%R
EACTOME%R-HSA-6
22312.1
","0.604","APP|HSP90AB1|TNFAIP3|PYCARD|PANX1|CASP9|IKBKB|PSTPIP1|CASP8|CASP4|C3AR1|CASP1|CASP2|CTSG|IKBKG|MAP3K7|ENTPD1|CHUK|RIPK2|ENTPD5|IL18|IL1A|AIM2|IL1B|TRAF6|TXNIP|UBE2V1|BIRC2|BIRC3|FLIC|PRGJ|NOD1|TXN|NLRC4|NOD2|MEFV|RELA|C3|NT5E|HLY|IRAK1|IRAK2|NLRP3|NLRP1|AAMP|FLJB|MAP2K6|CARD9|MAPK14|NFKB1|MAPK12|NFKB2|MAPK13|P2RX7|CYLD|MAPK11|ITCH|P2RX4|BCL2|UBE2N|TAB3|TAB2|SUGT1|TAB1|BCL2L1","Purinergic signaling in leishmaniasis infection,Cell recruitment (pro-inflammatory response),Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways,Inflammasomes","31","ENR,ENR,ENR,ENR","PURINERGIC SIGNALING IN LEISHMANIASIS INFECTION%REACTOME%R-HSA-9660826.1,CELL RECRUITMENT (PRO-INFLAMMATORY RESPONSE)%REACTOME DATABASE ID RELEASE 75%9664424,NUCLEOTIDE-BINDING DOMAIN, LEUCINE RICH REPEAT CONTAINING RECEPTOR (NLR) SIGNALING PATHWAYS%REACTOME DATABASE ID RELEASE 75%168643,INFLAMMASOMES%REACTOME%R-HSA-622312.1","1.9271","6.75E-4","leucine repeat nlr","0","0","false","leucine repeat nlr"
"50","3","1.0","1","0.6263333333333333","7.333333333333333E-4","CELLULAR 
RESPONSE TO 
HEAT%GOBP%GO:0034605 ,RESPONSE TO 
HEAT%GOBP%GO:0009408 ,RESPONSE TO 
TEMPERATURE 
STIMULUS%GOBP%GO:0009266 ","0.07266666666666667","YWHAE|ERO1A|HSP90AB2P|HSP90AA4P|SLC27A1|HSP90AB1|CLPB|PDCD6|HTR2B|PSIP1|HIKESHI|ZFAND1|GRIK2|FGF1|METRNL|MMP24|SUMO1|AKT1|NOS1|PRKACA|EIF2B1|IER5|EPHB1|APPL2|DAXX|HSP90AA1|HSBP1|ACOT11|CIRBP|GLRX2|DNAJC3|IL1A|ANO1|HSBP1L1|MAPT|SAXO1|SLU7|VCP|HSP90AB4P|UCP1|HTRA2|GMPR|PRDM12|THBS1|FOXO1|HSPD1|SLC25A27|ATXN3|TRPM2|BAG3|DNAJB4|UCP3|HSF1|DHX36|POLR2D|TPR|UCP2|HMOX1|RBBP7|MAP2K7|MICA|MICB|HSP90AB3P|EIF2B5|EIF2B4|EIF2B3|EIF2B2|NOS3|HSPA6|EIF2AK3|TRPV2|TRPV1|HSPA2|IGF1|EIF2AK4|SOD1|CRNN|NFKBIA|FGF16|GCLC|TCIM|TRPV4|STUB1|HSPA1B|HSPA1A|KCNK4","cellular response to heat,response to heat,response to temperature stimulus","61","ENR,ENR,ENR","CELLULAR RESPONSE TO HEAT%GOBP%GO:0034605,RESPONSE TO HEAT%GOBP%GO:0009408,RESPONSE TO TEMPERATURE STIMULUS%GOBP%GO:0009266","2.0981666666666667","0.0","temperature stimulus heat","0","0","false","temperature stimulus heat"
"60","2","0.99855","1","0.60035","0.0048","BIOCARTA_HIVNEF_
PATHWAY%MSIGDB_
C2%BIOCARTA_
HIVNEF_PATHWAY,
APOPTOSIS%WIKIPATHWAYS_20210210%WP254%HOMO 
SAPIENS ","0.445","RB1|HRK|NUMA1|TRADD|PRF1|LMNB2|ACTG1|BBC3|IGF1R|CASP9|IKBKB|CASP6|CASP3|MYC|ARHGDIB|CASP4|TNFSF10|IKBKG|HCG_20684|TP63|MAP3K5|BOK|DFFB|HELLS|MAP2K4|DFFA|CHUK|APAF1|PARP1|SCAF11|TRAF2|TRAF1|TNFRSF1B|HCG_16983|TNFRSF1A|DKFZP686A24188|IRF3|TRAF3|IRF4|IRF1|IRF2|IRF7|LTA|BIRC5|TNFRSF25|IRF5|TNF-ALPHA|IRF6|BIRC2|TNFRSF21|BIRC3|PRKDC|DIABLO|PSEN2|PSEN1|PIK3R1|RELA|BAG4|MAPK8|BCL2L11|LMNA|PMAIP1|RIPK1|FADD|BAK1|MCL1|CDK11A|JUN|MAP3K1|CRADD|BAD|CDKN2A|IGF2|IGF1|NFKB1|NFKBIA|MAPK10|TNFSF6|BCL2|MDM2|BAX|CYCS|NFKBIE|BCL2L2|DKFZP686J04131|NFKBIB|TP73|BCL2L1","BIOCARTA_HIVNEF_PATHWAY,Apoptosis","56","ENR,ENR","BIOCARTA_HIVNEF_PATHWAY%MSIGDB_C2%BIOCARTA_HIVNEF_PATHWAY,APOPTOSIS%WIKIPATHWAYS_20210210%WP254%HOMO SAPIENS","1.9882","0.00145","hivnef pathway apoptosis","0","0","false","hivnef pathway apoptosis"
"0","1","1.0","1","0.6927","0.0011","OXIDATIVE 
DAMAGE%WIKIPATHWAYS_20210210%WP3941%HOMO 
SAPIENS ","0.11","CDKN1C|CDKN1A|CDKN1B|PCNA|C1S|C1R|C5AR1|C4B_2|C2|CASP9|CDC42|CASP3|C3AR1|BAK1|MAP2K4|CR2|ADIB|ADIC|MAP3K1|APAF1|GADD45A|BAD|ADIA|TNK2|TRAF2|TRAF1|TNFRSF1B|NFKB1|MAPK13|MAPK10|TRAF3|TRAF6|BCL2|CYCS|TNF-ALPHA|NFKBIE","Oxidative Damage","36","ENR","OXIDATIVE DAMAGE%WIKIPATHWAYS_20210210%WP3941%HOMO SAPIENS","2.0517","0.0","oxidative damage","0","0","false","oxidative damage"
"59","1","1.0","1","0.7999","0.0014","REGULATION OF T 
CELL APOPTOTIC 
PROCESS%GOBP%GO:0070232 ","0.156","PTCRA|CD274|PRELID1|RIPK3|ZC3H8|LGALS16|BMP4|LGALS3|CCL5|PIP|PRKCQ|ADAM8|FADD|LGALS9|PDCD1|TP53|JAK3|IDO1","regulation of T cell apoptotic process","18","ENR","REGULATION OF T CELL APOPTOTIC PROCESS%GOBP%GO:0070232","2.0236","0.0","regulation cell apoptotic","0","0","false","regulation cell apoptotic"
"0","1","1.0","1","0.8391","1.0E-4","RESPONSE TO 
INTERFERON-ALPHA%GOBP%GO:0035455 ","0.003","IFITM3|IFNAR2|IFITM1|IFITM2|PYHIN1|MX2|EIF2AK2|ADAR|GATA3|KLHL20|BST2|RO60|AXL|PDE12|LAMP3|TPR|GAS6|IFNAR1","response to interferon-alpha","18","ENR","RESPONSE TO INTERFERON-ALPHA%GOBP%GO:0035455","2.2185","0.0","response interferon alpha","0","0","false","response interferon alpha"
